year,Jan,Feb,Mar,Apr,May ,Jun,July,Aug,Sep,Oct,Nov,Dec
1953,455,377,440,544,872,1257,2385,1999,2464,1603,802,534
1954,408,364,354,513,695,1464,3295,4047,2870,2612,1029,683
1955,529,432,476,606,947,1742,3493,3691,1979,1563,1633,747
1956,508,405,446,584,1118,1306,1623,1781,2236,1286,930,579
1957,477,444,460,646,1158,1900,2751,2949,1544,1969,856,546
1958,432,369,341,504,796,1128,1771,2612,1850,1187,696,432
1959,341,353,494,642,845,1346,1405,2226,1286,1356,1049,511
1960,357,303,275,376,474,1395,1781,2563,2345,1316,753,450
1961,343,337,498,663,928,1652,2365,2850,1939,1316,815,530
1962,369,343,315,570,815,2137,2523,4948,3404,1514,941,605
1963,455,372,383,445,640,1761,3097,3404,2652,1939,941,576
1964,435,408,409,667,865,1346,2325,2810,2672,1781,828,550
1965,411,383,346,441,652,2147,3256,3335,3147,1890,1079,729
1966,522,445,434,572,746,1524,2137,4334,4037,2127,1088,729
1967,539,460,467,555,825,1158,1850,2137,1613,1474,775,491
1968,407,377,392,574,1079,1474,2147,2197,2058,1326,749,485
1969,385,345,344,436,509,1039,2197,2256,2315,1356,705,448
1970,344,302,360,634,1069,1445,2998,3305,1514,1425,1098,689
1971,457,380,364,514,710,1821,1949,2533,1583,1425,828,507
1972,389,370,383,516,811,1039,2009,2167,1633,1029,656,434
1973,346,321,357,626,790,1336,1375,2276,1880,1098,1267,700
1974,435,359,394,600,792,1712,2880,3671,3414,1643,870,601
1975,445,405,392,693,886,1395,2108,2256,1959,1375,953,540
1976,412,374,445,709,947,1989,2375,2187,2167,1316,753,555
1977,409,407,442,619,820,1742,2078,2385,1920,1267,729,484
1978,374,340,349,582,1148,2246,2444,2662,2137,1395,743,495
1979,389,354,373,648,773,840,1801,2484,2721,2672,953,665
1980,468,404,461,722,917,1623,2414,3582,2622,2820,1098,662
1981,488,456,518,677,1098,1771,2741,1910,1781,975,615,448
1982,348,333,333,457,668,1682,3028,1692,1959,1306,676,453
1983,349,326,477,736,1118,1593,2306,1831,1662,1356,842,533
1984,424,383,348,644,689,1375,2543,1870,1712,1118,687,474
1985,371,342,377,583,839,2741,3285,2691,3206,1949,908,603
1986,442,399,388,607,934,1059,1544,1405,1692,2088,827,523
1987,421,379,373,529,669,1039,1781,2751,2840,1890,848,833
1988,442,382,521,640,1168,1593,1791,2068,2296,1425,736,503
1989,374,369,383,465,825,1435,2266,2197,2157,2573,1069,601
1990,426,390,397,572,1336,2652,3068,2583,2761,2266,961,619
1991,534,479,522,638,1128,1811,3137,4809,3176,1702,1197,713
1992,538,492,687,999,1009,1276,2256,1791,1712,1682,919,567
1993,473,513,492,678,1035,1534,2513,4492,3404,2157,1059,685
1994,451,437,579,726,1079,1910,1672,1524,1415,788,496,379
1995,334,313,343,479,1395,1435,2761,2306,2484,1850,1059,633
1996,472,435,579,824,969,1306,2771,2622,2256,1751,920,567
1997,435,371,429,483,955,1524,2909,1692,1920,1534,708,501
1998,431,386,497,771,1326,1306,3166,3899,3354,1484,915,565
1999,435,404,414,444,568,1534,2260,2672,2817,1477,1289,609
2000,433,394,434,780,1350,2098,2844,3147,3781,1747,1037,642
2001,494,432,425,517,862,2262,2273,2610,3077,1900,1069,685
2002,527,458,453,616,848,1445,3070,2816,1558,1350,704,502
2003,395,390,377,507,712,1948,2643,2482,3317,1524,775,521